Run	Condition	BioReplicate
E31452_2p_25cmih_trap26_PSB-689_GEJAE_1	NAC13_AA	NAC13_AA_a
E31454_2p_25cmih_trap26_PSB-689_GEJAE_2	NAC13_AA	NAC13_AA
E31456_2p_25cmih_trap26_PSB-689_GEJAE_3	NAC13_AA	NAC13_AA_c
E31458_2p_25cmih_trap26_PSB-689_GEJAE_4	NAC13_mock	NAC13_mock_a
E31460_2p_25cmih_trap26_PSB-689_GEJAE_5	NAC13_mock	NAC13_mock_b
E31462_2p_25cmih_trap26_PSB-689_GEJAE_6	NAC13_mock	NAC13_mock_c
E31464_2p_25cmih_trap26_PSB-689_GEJAE_7	NAC17_AA	NAC17_AA_a
E31466_2p_25cmih_trap26_PSB-689_GEJAE_8	NAC17_AA	NAC17_AA_b
E31468_2p_25cmih_trap26_PSB-689_GEJAE_9	NAC17_AA	NAC17_AA_c
E31472_2p_25cmih_trap26_PSB-689_GEJAE_10	NAC17_mock	NAC17_mock_a
E31474_2p_25cmih_trap26_PSB-689_GEJAE_11	NAC17_mock	NAC17_mock_b
E31476b_2p_25cmih_trap26_PSB-689_GEJAE_12	NAC17_mock	NAC17_mock_c
E31478_2p_25cmih_trap26_PSB-689_GEJAE_13	GFP_AA	GFP_AA_a
E31480_2p_25cmih_trap26_PSB-689_GEJAE_14	GFP_AA	GFP_AA_b
E31482_2p_25cmih_trap26_PSB-689_GEJAE_15	GFP_AA	GFP_AA_c
E31484_2p_25cmih_trap26_PSB-689_GEJAE_16	GFP_mock	GFP_mock_a
E31486_2p_25cmih_trap26_PSB-689_GEJAE_17	GFP_mock	GFP_mock_b
E31488_2p_25cmih_trap26_PSB-689_GEJAE_18	GFP_mock	GFP_mock_c
