RawFile	IsotopeLabelType	Condition	BioReplicate	Run
E31452_2p_25cmih_trap26_PSB-689_GEJAE_1	L	NAC13_AA	NAC13_AA_a	1
E31454_2p_25cmih_trap26_PSB-689_GEJAE_2	L	NAC13_AA	NAC13_AA	2
E31456_2p_25cmih_trap26_PSB-689_GEJAE_3	L	NAC13_AA	NAC13_AA_c	3
E31458_2p_25cmih_trap26_PSB-689_GEJAE_4	L	NAC13_mock	NAC13_mock_a	4
E31460_2p_25cmih_trap26_PSB-689_GEJAE_5	L	NAC13_mock	NAC13_mock_b	5
E31462_2p_25cmih_trap26_PSB-689_GEJAE_6	L	NAC13_mock	NAC13_mock_c	6
E31464_2p_25cmih_trap26_PSB-689_GEJAE_7	L	NAC17_AA	NAC17_AA_a	7
E31466_2p_25cmih_trap26_PSB-689_GEJAE_8	L	NAC17_AA	NAC17_AA_b	8
E31468_2p_25cmih_trap26_PSB-689_GEJAE_9	L	NAC17_AA	NAC17_AA_c	9
E31472_2p_25cmih_trap26_PSB-689_GEJAE_10	L	NAC17_mock	NAC17_mock_a	10
E31474_2p_25cmih_trap26_PSB-689_GEJAE_11	L	NAC17_mock	NAC17_mock_b	11
E31476b_2p_25cmih_trap26_PSB-689_GEJAE_12	L	NAC17_mock	NAC17_mock_c	12
E31478_2p_25cmih_trap26_PSB-689_GEJAE_13	L	GFP_AA	GFP_AA_a	13
E31480_2p_25cmih_trap26_PSB-689_GEJAE_14	L	GFP_AA	GFP_AA_b	14
E31482_2p_25cmih_trap26_PSB-689_GEJAE_15	L	GFP_AA	GFP_AA_c	15
E31484_2p_25cmih_trap26_PSB-689_GEJAE_16	L	GFP_mock	GFP_mock_a	16
E31486_2p_25cmih_trap26_PSB-689_GEJAE_17	L	GFP_mock	GFP_mock_b	17
E31488_2p_25cmih_trap26_PSB-689_GEJAE_18	L	GFP_mock	GFP_mock_c	18
